ID	Sex	BirthYear	BY.min	BY.max
C245292FRH	2	NA	2019	2022
C245293FRH	1	NA	2019	2022
C245294FRH	2	NA	2019	2022
C245295FRH	2	NA	2019	2022
C245296FRH	2	NA	2019	2022
C245297FRH	2	NA	2019	2022
C245298FRH	2	NA	2019	2022
C245299FRH	2	NA	2019	2022
C245300FRH	2	NA	2019	2022
C245301FRH	2	NA	2019	2022
C245302FRH	2	NA	2019	2022
C245303FRH	2	NA	2019	2022
C245304FRH	2	NA	2019	2022
C245305FRH	2	NA	2019	2022
C245306FRH	2	NA	2019	2022
C245307FRH	2	NA	2019	2022
C245308FRH	2	NA	2019	2022
C245309FRH	2	NA	2019	2022
C245310FRH	2	NA	2019	2022
C245311FRH	1	NA	2019	2022
C245312FRH	1	NA	2019	2022
C245313FRH	1	NA	2019	2022
C245314FRH	1	NA	2019	2022
C245315FRH	1	NA	2019	2022
C245316FRH	1	NA	2019	2022
C245317FRH	1	NA	2019	2022
C245318FRH	2	NA	2019	2022
C245319FRH	2	NA	2019	2022
C245320FRH	1	NA	2019	2022
C245321FRH	1	NA	2019	2022
C245322FRH	1	NA	2019	2022
C245323FRH	1	NA	2019	2022
C245324FRH	1	NA	2019	2022
C245325FRH	1	NA	2019	2022
C245326FRH	2	NA	2019	2022
C245327FRH	1	NA	2019	2022
C245328FRH	1	NA	2019	2022
C245329FRH	1	NA	2019	2022
C245330FRH	1	NA	2019	2022
C245336FRH	1	NA	2019	2022
C245337FRH	1	NA	2019	2022
C245338FRH	1	NA	2019	2022
C245339FRH	1	NA	2019	2022
C245340FRH	1	NA	2019	2022
C245341FRH	1	NA	2019	2022
C245342FRH	1	NA	2019	2022
C245343FRH	2	NA	2019	2022
C245344FRH	1	NA	2019	2022
C245345FRH	1	NA	2019	2022
C245346FRH	2	NA	2019	2022
C245347FRH	2	NA	2019	2022
C245348FRH	1	NA	2019	2022
C245349FRH	1	NA	2019	2022
C245350FRH	1	NA	2019	2022
C245351FRH	1	NA	2019	2022
C245352FRH	2	NA	2019	2022
C245353FRH	2	NA	2019	2022
C245354FRH	1	NA	2019	2022
C245355FRH	1	NA	2019	2022
C245356FRH	1	NA	2019	2022
C245357FRH	2	NA	2019	2022
C245358FRH	1	NA	2019	2022
C245359FRH	1	NA	2019	2022
C245360FRH	2	NA	2019	2022
C245361FRH	2	NA	2019	2022
C245362FRH	2	NA	2019	2022
C245363FRH	1	NA	2019	2022
C245364FRH	2	NA	2019	2022
C245365FRH	2	NA	2019	2022
C245366FRH	2	NA	2019	2022
C245367FRH	2	NA	2019	2022
C245368FRH	2	NA	2019	2022
C245369FRH	2	NA	2019	2022
C245370FRH	1	NA	2019	2022
C245371FRH	2	NA	2019	2022
C245372FRH	2	NA	2019	2022
C245373FRH	2	NA	2019	2022
C245374FRH	2	NA	2019	2022
C245375FRH	2	NA	2019	2022
C245376FRH	2	NA	2019	2022
C245377FRH	2	NA	2019	2022
C245378FRH	2	NA	2019	2022
C245379FRH	2	NA	2019	2022
C245380FRH	2	NA	2019	2022
C245381FRH	1	NA	2019	2022
C245382FRH	1	NA	2019	2022
C245383FRH	1	NA	2019	2022
C245384FRH	1	NA	2019	2022
C245385FRH	1	NA	2019	2022
C245386FRH	1	NA	2019	2022
C245387FRH	1	NA	2019	2022
C245388FRH	1	NA	2019	2022
C245389FRH	1	NA	2019	2022
C245390FRH	1	NA	2019	2022
C245391FRH	1	NA	2019	2022
C245392FRH	2	NA	2019	2022
C245393FRH	2	NA	2019	2022
C245394FRH	2	NA	2019	2022
C245395FRH	2	NA	2019	2022
C245396FRH	2	NA	2019	2022
C245397FRH	2	NA	2019	2022
C245398FRH	2	NA	2019	2022
C245399FRH	2	NA	2019	2022
C245400FRH	2	NA	2019	2022
C245401FRH	2	NA	2019	2022
C245733FRH	2	NA	2019	2022
C245734FRH	1	NA	2019	2022
C245735FRH	1	NA	2019	2022
C245736FRH	2	NA	2019	2022
C245738FRH	2	NA	2019	2022
C245739FRH	1	NA	2019	2022
C245740FRH	1	NA	2019	2022
C245741FRH	2	NA	2019	2022
C245742FRH	1	NA	2019	2022
C245743FRH	1	NA	2019	2022
C245744FRH	1	NA	2019	2022
C245745FRH	1	NA	2019	2022
C245746FRH	2	NA	2019	2022
C245747FRH	1	NA	2019	2022
C245748FRH	2	NA	2019	2022
C245749FRH	1	NA	2019	2022
C245750FRH	2	NA	2019	2022
C245751FRH	2	NA	2019	2022
C245752FRH	1	NA	2019	2022
C245753FRH	1	NA	2019	2022
C245754FRH	2	NA	2019	2022
C245755FRH	1	NA	2019	2022
C245756FRH	2	NA	2019	2022
C245757FRH	2	NA	2019	2022
C245758FRH	1	NA	2019	2022
C245759FRH	2	NA	2019	2022
C245760FRH	2	NA	2019	2022
C245761FRH	2	NA	2019	2022
C245762FRH	2	NA	2019	2022
C245763FRH	1	NA	2019	2022
C245764FRH	2	NA	2019	2022
C245765FRH	2	NA	2019	2022
C245766FRH	1	NA	2019	2022
C245767FRH	1	NA	2019	2022
C245768FRH	2	NA	2019	2022
C245769FRH	2	NA	2019	2022
C245770FRH	1	NA	2019	2022
C245771FRH	2	NA	2019	2022
C245772FRH	1	NA	2019	2022
C245773FRH	1	NA	2019	2022
C245774FRH	1	NA	2019	2022
C245775FRH	2	NA	2019	2022
C245776FRH	1	NA	2019	2022
C245777FRH	1	NA	2019	2022
C245778FRH	2	NA	2019	2022
C245779FRH	1	NA	2019	2022
C245780FRH	2	NA	2019	2022
C245781FRH	2	NA	2019	2022
C245782FRH	1	NA	2019	2022
C245783FRH	1	NA	2019	2022
C245784FRH	2	NA	2019	2022
C245785FRH	2	NA	2019	2022
C245786FRH	2	NA	2019	2022
C245787FRH	1	NA	2019	2022
C245788FRH	2	NA	2019	2022
C245789FRH	1	NA	2019	2022
C245790FRH	1	NA	2019	2022
C245791FRH	1	NA	2019	2022
C245792FRH	1	NA	2019	2022
C245793FRH	2	NA	2019	2022
C245794FRH	2	NA	2019	2022
C245795FRH	2	NA	2019	2022
C245796FRH	1	NA	2019	2022
C245797FRH	1	NA	2019	2022
C245798FRH	2	NA	2019	2022
C245799FRH	2	NA	2019	2022
C245800FRH	1	NA	2019	2022
C245801FRH	1	NA	2019	2022
C245802FRH	1	NA	2019	2022
C245803FRH	1	NA	2019	2022
C245804FRH	2	NA	2019	2022
C245805FRH	1	NA	2019	2022
C245806FRH	2	NA	2019	2022
C245807FRH	2	NA	2019	2022
C245808FRH	2	NA	2019	2022
C245809FRH	2	NA	2019	2022
C245810FRH	2	NA	2019	2022
C245811FRH	1	NA	2019	2022
C245812FRH	1	NA	2019	2022
C245813FRH	1	NA	2019	2022
C245814FRH	2	NA	2019	2022
C245815FRH	2	NA	2019	2022
C245816FRH	1	NA	2019	2022
C245817FRH	1	NA	2019	2022
C245818FRH	1	NA	2019	2022
C245819FRH	2	NA	2019	2022
C245820FRH	2	NA	2019	2022
C245821FRH	2	NA	2019	2022
C245822FRH	2	NA	2019	2022
C245823FRH	1	NA	2019	2022
C245824FRH	2	NA	2019	2022
C245825FRH	1	NA	2019	2022
C245826FRH	1	NA	2019	2022
C245827FRH	2	NA	2019	2022
C245828FRH	1	NA	2019	2022
C245829FRH	2	NA	2019	2022
C245830FRH	2	NA	2019	2022
C245831FRH	1	NA	2019	2022
C245832FRH	2	NA	2019	2022
C245833FRH	1	NA	2019	2022
C245834FRH	2	NA	2019	2022
C245835FRH	1	NA	2019	2022
C245836FRH	2	NA	2019	2022
C245837FRH	2	NA	2019	2022
C245838FRH	1	NA	2019	2022
C245839FRH	1	NA	2019	2022
C245840FRH	1	NA	2019	2022
C245841FRH	1	NA	2019	2022
C245842FRH	2	NA	2019	2022
C245843FRH	2	NA	2019	2022
C245844FRH	2	NA	2019	2022
C245845FRH	2	NA	2019	2022
C245846FRH	1	NA	2019	2022
C245847FRH	1	NA	2019	2022
C245848FRH	2	NA	2019	2022
C245849FRH	2	NA	2019	2022
C245850FRH	1	NA	2019	2022
C245851FRH	2	NA	2019	2022
C245852FRH	2	NA	2019	2022
C245853FRH	1	NA	2019	2022
C245854FRH	1	NA	2019	2022
C245855FRH	2	NA	2019	2022
C245856FRH	1	NA	2019	2022
C245857FRH	1	NA	2019	2022
C245858FRH	2	NA	2019	2022
C245859FRH	1	NA	2019	2022
C245860FRH	2	NA	2019	2022
C245861FRH	1	NA	2019	2022
C245862FRH	2	NA	2019	2022
C245864FRH	2	NA	2019	2022
C245866FRH	1	NA	2019	2022
C245867FRH	1	NA	2019	2022
C245868FRH	1	NA	2019	2022
C245869FRH	2	NA	2019	2022
C245870FRH	1	NA	2019	2022
C245871FRH	1	NA	2019	2022
C245872FRH	1	NA	2019	2022
C245873FRH	2	NA	2019	2022
C245874FRH	2	NA	2019	2022
C245876FRH	1	NA	2019	2022
C245877FRH	1	NA	2019	2022
C245878FRH	1	NA	2019	2022
C245879FRH	1	NA	2019	2022
C245880FRH	2	NA	2019	2022
C245881FRH	1	NA	2019	2022
C245882FRH	2	NA	2019	2022
C245883FRH	2	NA	2019	2022
C245884FRH	1	NA	2019	2022
C245885FRH	2	NA	2019	2022
C245886FRH	1	NA	2019	2022
C245887FRH	2	NA	2019	2022
C245888FRH	1	NA	2019	2022
C245889FRH	2	NA	2019	2022
C245890FRH	1	NA	2019	2022
C245891FRH	1	NA	2019	2022
C245892FRH	1	NA	2019	2022
C245894FRH	1	NA	2019	2022
C245895FRH	2	NA	2019	2022
C245896FRH	2	NA	2019	2022
C245897FRH	2	NA	2019	2022
C245898FRH	2	NA	2019	2022
C245899FRH	1	NA	2019	2022
C245901FRH	2	NA	2019	2022
C245902FRH	1	NA	2019	2022
C245903FRH	1	NA	2019	2022
C245904FRH	1	NA	2019	2022
C245905FRH	1	NA	2019	2022
C245906FRH	1	NA	2019	2022
C245907FRH	1	NA	2019	2022
C245908FRH	1	NA	2019	2022
C245909FRH	2	NA	2019	2022
C245910FRH	2	NA	2019	2022
C245911FRH	2	NA	2019	2022
C245912FRH	1	NA	2019	2022
C245913FRH	2	NA	2019	2022
C245915FRH	1	NA	2019	2022
C245916FRH	2	NA	2019	2022
C245917FRH	2	NA	2019	2022
C245918FRH	1	NA	2019	2022
C245919FRH	2	NA	2019	2022
C245920FRH	2	NA	2019	2022
C245921FRH	1	NA	2019	2022
C245923FRH	2	NA	2019	2022
C245924FRH	2	NA	2019	2022
C245925FRH	2	NA	2019	2022
C245926FRH	1	NA	2019	2022
C245927FRH	1	NA	2019	2022
C245928FRH	2	NA	2019	2022
C245929FRH	2	NA	2019	2022
C245930FRH	2	NA	2019	2022
C245931FRH	1	NA	2019	2022
C245932FRH	1	NA	2019	2022
C245933FRH	2	NA	2019	2022
C245934FRH	1	NA	2019	2022
C245935FRH	1	NA	2019	2022
C245936FRH	2	NA	2019	2022
C245937FRH	1	NA	2019	2022
C245938FRH	2	NA	2019	2022
C245939FRH	1	NA	2019	2022
C245940FRH	1	NA	2019	2022
C245941FRH	1	NA	2019	2022
C245942FRH	1	NA	2019	2022
C245943FRH	1	NA	2019	2022
C245944FRH	1	NA	2019	2022
C245945FRH	2	NA	2019	2022
C245946FRH	2	NA	2019	2022
C245947FRH	2	NA	2019	2022
C245948FRH	2	NA	2019	2022
C245949FRH	1	NA	2019	2022
C245950FRH	1	NA	2019	2022
C245951FRH	1	NA	2019	2022
C245952FRH	1	NA	2019	2022
C245953FRH	1	NA	2019	2022
C245954FRH	1	NA	2019	2022
C245955FRH	1	NA	2019	2022
C245956FRH	2	NA	2019	2022
C245957FRH	1	NA	2019	2022
C245958FRH	1	NA	2019	2022
C245959FRH	2	NA	2019	2022
